trip,site,sample_type,sample,dt_sampled,fillStage_cm,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m
16,Tunnel,QA-QC,HoldTime-A2,2019-10-12T18:30:00Z,NA,0,0.13699999999999998,7.013,5.981333333333334,14.588666666666667,0.258
16,Tunnel,QA-QC,HoldTime-A3,2019-10-12T18:30:00Z,NA,0,0.12633333333333335,7.025,5.980333333333333,14.586333333333334,0.26333333333333336
16,Tunnel,QA-QC,HoldTime-A4,2019-10-12T18:30:00Z,NA,0,0.12933333333333333,6.999,5.985666666666667,14.599333333333334,0.26933333333333337
16,Tunnel,QA-QC,HoldTime-A5,2019-10-12T18:30:00Z,NA,0,0.13533333333333333,7.0183333333333335,5.973333333333334,14.569666666666667,0.26466666666666666
16,Cragg-crk,Grab,Grab,2019-10-12T17:00:00Z,15,0,0.06366666666666666,5.535333333333333,4.859999999999999,11.853,0.213
16,Leech-head,Grab,Grab,2019-10-12T18:45:00Z,95,0,0.45166666666666666,12.230666666666666,10.256666666666668,25.016666666666666,0.412
16,Leech-head,Rack,L1,NA,88,0,0.03833333333333333,4.548666666666667,3.6266666666666665,8.845333333333333,0.22833333333333333
16,Weeks-out,Grab,Grab,2019-10-12T21:30:00Z,40,0.13933333333333334,NaN,21.651333333333334,17.329,42.266666666666666,0.6613333333333333
16,Weeks-out,Rack,L1,NA,31,0.059666666666666666,0.6666666666666666,19.606333333333332,15.837333333333333,38.62733333333333,0.605
16,Chris-crk,Grab,Grab,2019-10-12T23:00:00Z,NA,0,0,5.1593333333333335,4.4976666666666665,10.970666666666666,0.21466666666666667
16,Jarvis,Grab,Grab,2019-10-12T16:30:00Z,NA,0,NaN,20.332,17.081333333333333,41.66166666666667,0.622
16,Lazar,Grab,Grab,2019-10-12T16:00:00Z,NA,0,0.05766666666666667,5.262,4.611,11.245666666666667,0.21666666666666667
16,West-Jordan,Grab,Grab,2019-10-12T22:00:00Z,NA,1.359,0.08533333333333333,5.099,3.965,9.671000000000001,0.19466666666666668
17,Lab,QA-QC,Cal-ver3_,NA,NA,0,1.272,5.635,5.395,13.158,0.105
17,West-Leech,Grab,Grab,2019-10-24T18:25:00Z,32,0,0.092,7.541,6.293,15.349,0.259
17,West-Leech,Grab,Grab,2019-11-23T16:45:00Z,38,0,0.108,8.087,6.85,16.708,0.299
17,West-Leech,Rack,L1,NA,23,0,0.238,9.715,8.048,19.628,0.356
17,West-Leech,Rack,L2,NA,36,0.297,0.807,17.253,14.162,34.541,0.561
17,West-Leech,Rack,L3,NA,53,0.711,0.768,16.89,13.733,33.494,0.535
17,West-Leech,Rack,L4,NA,71,0.903,0.431,12.157,9.744,23.766,0.393
17,Tunnel,Grab,Grab,2019-10-24T19:11:00Z,34,0,0.168,8.627,7.283,17.762,0.332
17,Tunnel,Rack,L1,NA,0,0,0.109,7.577,6.219,15.169,0.291
17,Tunnel,Rack,L2,NA,6,0,0.181,8.652,7.06,17.219,0.339
17,Tunnel,Rack,L3,NA,19,0,0.567,13.351,11.04,26.926,0.457
17,Tunnel,Rack,L4,NA,39,0,0.607,13.618,11.272,27.492,0.465
17,Tunnel,Rack,L5,NA,56,3.023,0.749,14.997,11.919,29.072,0.459
17,Tunnel,Rack,L6,NA,71,0,0.371,10.766,8.783,21.421,0.365
17,Tunnel,QA-QC,HoldTime-A6,2019-10-12T18:30:00Z,NA,NA,NA,NA,NA,NA,NA
17,Tunnel,QA-QC,HoldTime-A6,2019-11-23T18:12:00Z,NA,0,0.115,7.015,5.982,14.59,0.266
17,Tunnel,QA-QC,HoldTime-B1,2019-10-12T08:00:00Z,NA,0,0.222,9.35,7.806,19.04,0.333
17,Tunnel,QA-QC,HoldTime-B2,2019-10-12T08:00:00Z,NA,0,0.214,9.282,7.873,19.203,0.358
17,Tunnel,QA-QC,HoldTime-B3,2019-10-12T08:00:00Z,NA,0,0.206,9.302,7.838,19.117,0.337
17,Tunnel,QA-QC,HoldTime-B4,2019-10-12T08:00:00Z,NA,0,0.202,9.403,7.877,19.213,0.343
17,Tunnel,QA-QC,HoldTime-B5,2019-10-12T08:00:00Z,NA,0,0.201,9.35,7.84,19.123,0.347
17,Tunnel,QA-QC,HoldTime-A7,2019-11-23T18:12:00Z,NA,0,0.11,6.894,5.922,14.444,0.267
17,Tunnel,QA-QC,HoldTime-A8,2019-11-23T18:12:00Z,NA,0,0.114,6.986,5.981,14.588,0.264
17,Tunnel,QA-QC,HoldTime-A9,2019-11-23T18:12:00Z,NA,0,0.111,6.964,5.968,14.556,0.272
17,Tunnel,QA-QC,HoldTime-A10,2019-11-23T18:12:00Z,NA,0,0.113,6.964,5.918,14.433,0.258
17,Cragg-crk,Grab,Grab,2019-10-23T19:25:00Z,52,0,0.165,8.684,7.426,18.112,0.318
17,Cragg-crk,Grab,Grab,2019-10-24T17:30:00Z,43,0,0.146,8.004,6.748,16.457,0.269
17,Cragg-crk,Rack,L1,NA,25,0,0.157,6.596,5.559,13.559,0.224
17,Cragg-crk,Rack,L2,NA,43,0,0.597,11.078,9.383,22.886,0.36
17,Cragg-crk,Rack,L3,NA,65,0,0.486,12.03,10.198,24.873,0.375
17,Leech-head,Grab,Grab,2019-10-23T20:35:00Z,137,0,0.607,14.281,11.575,28.232,0.47
17,Leech-head,Grab,Grab,2019-10-24T16:15:00Z,125,0,0.5,13.428,10.945,26.694,0.44
17,Leech-head,Rack,L1,NA,98,0,0.526,12.899,10.487,25.577,0.409
17,Leech-head,Rack,L2,NA,117,0.723,1.009,17.429,14.17,34.56,0.544
17,Leech-head,Rack,L3,NA,131,0.396,0.847,17.78,14.338,34.972,0.574
17,Weeks-out,Grab,Grab,2019-10-23T21:15:00Z,84,0,0.683,18.114,14.536,35.454,0.552
17,Weeks-out,Grab,Grab,2019-10-24T16:54:00Z,NA,0,0.824,17.53,14.115,34.426,0.548
17,Weeks-out,Rack,L1,NA,43,1.803,NaN,NaN,NaN,NaN,0.849
17,Weeks-out,Rack,L2,NA,58,1.365,NaN,NaN,NaN,NaN,0.863
17,Weeks-out,Rack,L3,NA,71,1.517,NaN,NaN,NaN,NaN,0.839
17,Chris-crk,Grab,Grab,2019-10-23T22:10:00Z,28,0,0,5.411,4.677,11.408,0.214
17,Chris-crk,Grab,Grab,2019-10-24T17:01:00Z,26,0,0,5.199,4.511,11.003,0.223
17,Chris-crk,Rack,L1,NA,28,0,0.435,10.522,8.81,21.487,0.351
17,Chris-crk,Rack,L2,NA,38,0,0.753,15.197,12.594,30.717,0.467
17,Jarvis,Grab,Grab,2019-10-23T18:00:00Z,NA,0,0.558,20.309,16.661,40.636,0.689
17,Lazar,Grab,Grab,2019-10-23T17:00:00Z,NA,0,0.315,10.462,8.884,21.669,0.369
17,Rithet,Grab,Grab,2019-10-23T16:00:00Z,NA,0,0.17,6.326,5.397,13.162,0.245
18,West-Leech,Grab,Grab,2019-11-13T18:10:00Z,20,0,0.205,7.816,6.535,15.94,0.309
18,Tunnel,Grab,Treatability,2019-11-12T19:30:00Z,0,0,0.014,5.2265,4.541,11.0755,0.2385
18,Tunnel,Grab,R1,2019-11-13T22:00:00Z,NA,0,0.033,6.008,5.027,12.262,0.253
18,Tunnel,Grab,R2,2019-11-13T22:00:00Z,NA,0,0.088,6.601,5.511,13.443,0.272
18,Tunnel,Grab,R3,2019-11-13T22:00:00Z,NA,0,0.069,6.536,5.528,13.484,0.276
